Título del material	link al video de youtube	Año de realización	Integrantes de la producción (creadores del concepto, actores, performers, músicos, directores, guionistas, camarógrafos, etc)	Nacionalidad del responsable
DespersoNación	https://youtu.be/UTs_sX9u4UE?si=7c1XAQchQfQZt3dK	2024	Eric Américo Ruggiero en producción; Pedro Beccar música	Argentina
There was a time	https://vimeo.com/559415917  Contraseña: Tiemposs	2021	Diseño sonoro: Juan José Calarco	Argentina
videopoesia	https://youtu.be/ODcbaI2Uhv8?si=2y32fH1yuPMW9FbT	2025	Gonzalo Eloy	Argentino
[La visibilidad es una trampa.]bis	https://youtu.be/lPhz09BuIV8?si=fqAYEASpU08_lPVH	2025	(Gonzalo Eloy	Argentino
videopoesia	https://youtu.be/caWkA8f8KGc?si=izWyrUBjFfsao7aw	2025	Gonzalo Eloy	Argentina
Para personas sensibles	https://youtu.be/vlkd1Rfy-uw?si=3B0-1lk4Qs23E5OR	2024	Texto: Cecilia Gonzales, voz: Catalia Lütz, video: Anto Gandini, edición: Gonzalo Eloy	Argentino
De un  modo real esto es imposible;	https://youtu.be/9ufhN0QzY24?si=_j4rIjhrBIAICcyi	2025	Gonzalo Eloy realización integral(video, montaje, animación, foundfootage , texto)	Argentino
Variable Indefinida[ostinato]	https://youtu.be/qj05vZvsBa0?si=3lkJk4hEIxtVwPST	2025	realización integral(Programación, texto, sonido y fotografía) Gonzalo Eloy	Argentino
Llena	https://vimeo.com/1020978185.cheia	2024		Brasileira
Nudos soslayados	https://youtu.be/p_hwxfZDWE8?si=evcunRetDbiiCRGP	2025	Lucía Jazmín Tarela IG @video.poesia	Argentina
Electrical-darkness	https://youtu.be/AYyuWMx6D5Q	2024	Sandrine Deumier	French
Utopía descoyuntada en el pulsar tipográfico	https://www.youtube.com/watch?v=sqhLs8RDhKo	2025	Ana Suárez	Argentina
Ya no duele	https://www.youtube.com/watch?v=kSnMK8iSy0w	2025	Marcela Peral	Argentina
ECOS DE UNA HIJA	https://www.youtube.com/watch?v=MsVuX-uEF9k	2022	aldana copa	argenitna
Delineo con el dedo la ventana	https://www.youtube.com/watch?v=Dh8KE52ShPs	2023	Ona Ballesteros Gravino Patricio Ballesteros Ledesma	Argentina
Oj0s Eléctric0s	https://drive.google.com/file/d/1ThviOKFjv7nOcxJql1LMe1IM-SEo4zOx/view?usp=sharing	2025	Lucas Henriquez	Argentino
Daomdrie Elemental de la naturaleza	https://youtu.be/7g2Tagz3fwU	2024	idea y realización Damián Ro	argentina
Viaje Chamánico	https://youtu.be/djYMWo1eB6o	2025	Voz en off: Silvina Cetto , Damián Rodríguez. Texto, idea, producción, realización : Damián Ro	argentina
Bailar es una viaje a otro planeta	https://youtu.be/J_FMq5FkHZM	2024	Bailarinxs : Nati Lacabe, Vero Algañaraz, Dami Rodríguez. Coreografía: Ludmila Antonomow. Locación: Espacio Cultural Teatro Brote. Idea, Edición y producción audiovisual Damián Ro	argentina
Llena	https://vimeo.com/1020978185	2024	Wayner Tristão	Brasileno
IMORTAL	https://youtu.be/0qF3o6SELv8	2023	Paulo Aquarone	Brasileiro
Segmenti	https://www.youtube.com/watch?v=JRJAPUQZEoY	2025	Angela Caporaso	Italiana
O Mundo em uma palavra (El mundo en una palabra)	https://www.youtube.com/watch?v=e89acVdWXEM&t=8s	2021	FICHA TÉCNICA Autor (texto/imagenes): Tchello d'Barros  Artista invitada (voz): Gleice Uchoa  Ediicón: Jozefo Roza Título: O mundo em uma palavra              (El mundo en una palabra) Género: Videopoema Categoría: Libre Color: A color Duración: 2:30 min Extensión: .MP4 Archivo: 44 MB Formato: 1920 x 1080 Pantalla: 16/09 Año: 2021 Producción: Fluxo Filmes  	Brasileño
☆ flowers in motion ☆	https://www.youtube.com/watch?v=NvQwCihtwKo	2025	Rocio Mio / Dúo Dø Música / Nejo Out	Argentina
